"country","state","respondentId","surveyStatus","studyId","title","Q1","Q2","Q3","Q4","Q5","Q6-1","Q6-2","Q6-3","Q6-4","Q6-5","Q6-6","Q6-7","Q6-8","Q6-9","Q6-10","Q7","Q8-1","Q8-2","Q8-3","Q8-4","Q8-5","Q9-1","Q9-2","Q9-3","Q9-4","Q9-5","Q9-6","Q9-7","Q9-8","Q9-9","Q9-10","Q10","Q12-1","Q12-2","Q13","Q16-1","Q16-2","Q16-3","Q16-4","Q16-5","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q11","Q14","Q15","wave"
"US","Maryland","4d6499e8-4844-8392-05c5-9328abe2d08c","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","5","6","1","2","11","11","3","11","1","11","11","11","11","1","2","1","5","4","3","11","1","11","11","2","11","3","11","11","11","3","15","15","15","3","4","5","1","2","1","1","1","mask and gloves","2","2","1","2","The data on children.",,,,"us1"
"US","Arkansas","47dacbdf-a6a6-49af-7bda-603dc8f11464","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","1","3","4","1","3","11","11","2","1","11","11","11","11","11","1","1","4","2","5","3","11","11","11","11","11","2","1","3","11","11","3","15","15","15","4","5","2","3","1","2","3","1","Frequent hand washing ","2","3","2","2","No ",,,,"us1"
"US","Florida","9c54e77d-878a-a208-3410-d3b3c2919394","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","6","6","3","11","11","2","1","11","11","3","11","11","11","1","4","1","3","2","5","11","11","11","11","11","1","3","2","11","11","3","4,5","2,4,5,7,8,13,14","8,13,14","4","5","1","2","3","1","1","1","frequent hand washing social separation cleaning surfaces","3","2","2","3","latest on availability of new vaccine",,"6","1","us1"
"US","Florida","de36f521-c0f6-4284-471a-5661653d4909","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","3","3","1","2","11","11","11","11","1","11","11","11","3","2","1","2","3","5","4","11","11","11","2","1","11","11","11","11","3","2","3,4,5,9","2,3,4,5,6,8,9,10,13,15","2,8,9,13","2","5","3","4","1","3","4","1","Strict use of PPE at hospital; constant hand washing; scrub shower when I get home; placement of hospital cloth on separate laundry bin","2","2","1","2","Triage; prognosis based on lab and radiological tests; immunity.","4","6","3","us1"
"US","Florida","0933b5db-c1e6-1883-ae2d-f43833f4162d","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","3","2","2","11","11","3","11","11","1","2","11","11","11","1","2","3","1","5","4","11","3","11","11","2","1","11","11","11","11","3","15","15","15","2","5","4","3","1","2","1","1","Wash","2","2","1","1","No",,,,"us1"
"US","California","5de73726-78ce-4da2-f567-3f31b2e3ef47","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","6","6","3","1","11","3","11","11","2","11","11","11","11","1","1","4","2","3","5","11","11","11","11","3","11","2","11","1","11","1","15","2,4,5,8","15","2","4","3","5","1","1","1","1","leave my shoes in my garage. I leave scrubs in un used bathroom","1","3","1","2","ARE YOU FRIGHTENED FOR YOUR LIFE???","6","1","have not prescribed","us1"
"US","Ohio","a470e1d6-d2ee-4cc7-b122-c12535be0b62","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","4","6","6","1","1","11","11","11","3","2","11","11","11","11","2","1","5","2","3","4","3","11","11","11","11","11","11","2","1","11","3","15","15","15","5","4","3","2","1","3","2","2",,"2","3","2","2","none",,,,"us1"
"US","Arizona","a37c23db-d90f-547e-87af-c750f473358c","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","3","7","2","11","2","11","11","11","1","11","11","11","3","1","1","2","4","3","5","11","1","3","11","11","11","11","11","11","2","3","15","15","15","4","5","2","3","1","3","2","2",,"3","2","1","2","no",,,,"us1"
"US","Virginia","7e97b9b9-9231-e1da-7ca2-7883a8d727b1","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","5","6","6","2","3","11","2","11","11","1","11","11","11","11","1","2","5","4","1","3","11","11","11","11","3","11","11","2","1","11","3","15","2,4,7,8","15","4","5","2","3","1","1","1","1","stay at home","2","1","1","2","not at this time",,"5","unsure","us1"
"US","California","fed2384f-b98f-936e-ebab-3563b76f11d0","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","5","5","3","2","11","1","3","11","11","11","11","11","11","1","1","5","2","4","3","11","11","1","3","2","11","11","11","11","11","3","15","15","15","1","5","4","2","3","3","4","1","Frequent hand washing; sanitizing inside handles, faucets, doorknobs, etc","3","4","2","3","none",,,,"us1"
"US","New York","515550e9-4306-9dd1-a61d-82d70ab20132","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","2",0,"3","3","1","2","11","11","11","3","1","11","11","11","11","2","1","3","4","2","5","1","2","11","11","3","11","11","11","11","11","1,2","4,8","2,4,8","4,15","3","5","2","4","1","2","2","2",,"2","1","2","2","The treatment if anything gets approved- let us know ","3","1,5","2","us1"
"US","Texas","0d6f9525-35c9-1ca2-a730-5a89eaf6b72b","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","4","4","1","2","11","11","11","11","3","11","11","11","1","3","2","4","3","5","1","11","2","11","1","3","11","11","11","11","11","3","15","15","15","4","3","5","1","2","3","2","2",,"3","2","2","2","Nine",,,,"us1"
"US","Pennsylvania","07b4a282-fa2c-105c-865a-f97e213b37c9","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","5","7","2","1","11","11","11","11","3","11","11","11","2","3","2","4","1","5","3","11","11","11","3","11","2","11","1","11","11","3","15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","8","4","5","2","1","3","3","2","2",,"3","2","2","2","N/A",,"5","1","us1"
"US","Florida","18fadeec-09e4-5245-715e-53d4091bb095","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","3","4","3","2","11","11","11","11","1","11","11","11","3","1","1","2","5","3","4","2","11","11","11","11","3","11","1","11","11","3","15","1,2,5,8,9,10","1,2,8,9,10","2","4","3","5","1","1","1","1","Showering, washing clothes, hygiene, masks","2","1","2","3","No",,"2,3,4","2","us1"
"US","Illinois","b35e2e54-3b90-6cba-68ec-edc519da8e3d","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","5","5","2","1","11","11","11","2","3","11","11","11","11","2","3","2","4","1","5","1","11","11","11","2","11","11","3","11","11","3","15","15","15","5","3","4","1","2","3","2","1","Hand hygien, avoiding sick contacts, Social distance","3","2","2","1","Social media and pandemias: too much information from nonprofecionals. ",,,,"us1"
"US","North Carolina","8a0b8138-0dee-27ad-cbd5-7ffd5ff7526e","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","3","5","2","2","11","3","11","11","1","11","11","11","11","1","1","2","4","5","3","11","11","11","2","11","1","11","11","3","11","3","15","1,2,3,4,5,6,7,8,9,10","15","3","5","1","4","2","1","1","1","Living separately ","2","1","1","2","Hazard pay for doctors and residents ",,"6","1","us1"
"US","New York","d1388f37-66ed-ca6a-31ce-4592e83a0827","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","4","5","4","2","11","1","11","11","11","11","3","11","11","1","3","1","5","2","4","11","11","2","11","11","11","3","11","1","11","3","15","15","15","4","5","2","1","3","4","1","1","Extra hand washing, social distancing, High dosage vitamin C","3","1","2","3","No",,,,"us1"
"US","Arkansas","a0cad8e0-f8d6-9b8e-5c94-747198cadbbf","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","3","3","2","1","2","3","11","11","11","11","11","11","11","1","5","2","3","4","1","11","11","11","2","3","11","11","1","11","11","2","1,3,4,5,6","1,3,4,5,6,8,14","3,4,5,6","5","2","4","1","3","1","1","1","Undressing before entering home. ","2","2","2","2","No","3","6","2","us1"
"US","California","bc257a48-ee50-c30c-0762-1194f51273fb","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","6","6","4","11","11","11","11","3","11","11","1","11","2","1","2","1","4","3","5","3","11","1","11","11","11","11","2","11","11","1,2","1,2,3,4,5,6,7,8,9,10,11,12,13,14","15","15","2","5","3","1","4","1","1","1","wash hands","1","1","1","3","why is the preseident talking abouyt this and not the general surgeon","6","6","6","us1"
"US","Virginia","bb3326c0-84da-6f7f-befa-67f5a02f2ab0","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","5","5","2","1","11","3","11","11","2","11","11","11","11","1","2","4","3","5","1","11","2","11","1","11","3","11","11","11","11","3","15","15","15","5","4","2","3","1","2","2","2",,"3","3","1","2","Notjing",,,,"us1"
"US","Massachusetts","2432d69f-8c2a-8128-49ee-0cf72e42c706","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","4","4","2","1","11","3","2","11","11","11","11","11","11","2","4","1","2","5","3","11","1","11","11","2","3","11","11","11","11","1","3,4,5","15","4,5","4","5","2","3","1","2","2","1","Change when I get home","3","1","1","2","no","5",,,"us1"
"US","Pennsylvania","8e9b4665-377e-cfdc-f645-ebc56c3b8b50","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","5","6","2","1","11","3","2","11","11","11","11","11","11","3","5","1","4","2","3","11","11","11","11","2","3","11","11","1","11","3","15","15","1,2,8,14","5","4","1","2","3","2","1","1","taking clothes off from the hospital right away and immediate shower","2","2","2","2","na",,,,"us1"
"US","Virginia","a1683b2a-4836-69c6-87e4-b356909a7570","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","6","6","3","1","11","11","11","11","11","11","3","11","2","1","1","4","2","5","3","11","3","11","11","11","11","1","11","2","11","1,2","15","15","15","1","5","4","2","3","1","1","2",,"1","1","1","3","No","4",,,"us1"
"US","Puerto Rico","b02ecc79-e0bc-ca23-3ae2-0b2a5cf1e37a","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","7","2","2","1","11","1","11","11","11","3","11","2","11","11","3","2","3","4","1","5","3","11","11","11","11","11","11","2","1","11","3","2,4,8,9,10","2,4,8,9,10","2,3,4,5","4","5","2","1","3","2","2","1","Social distancing","4","2","1","1","Expectations for next months to come",,"6","None","us1"
"US","Massachusetts","e0f21dc5-0f94-c361-1d68-aeca06db4ba9","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","6","6","2","2","11","3","11","11","1","11","11","11","11","1","1","3","5","2","4","1","11","11","11","11","11","2","3","11","11","1","15","2,4,8,13","13","4","3","2","5","1","1","4","2",,"3","2","1","2","none","2","6","2","us1"
"US","Pennsylvania","6a6cd49a-713f-4cb0-facf-2d6e7c2b5192","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","4","6","6","2","11","11","3","11","11","2","11","1","11","11","2","1","2","3","5","4","11","1","11","11","3","2","11","11","11","11","3","15","15","15","1","5","4","3","2","1","1","1","Avoid sharing utensils, avoid kissing, hugging, and close contact","2","3","1","2","None",,,,"us1"
"US","Georgia","4993b85a-7001-16b9-3743-53166fec3bb3","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","6","6","2","2","11","3","11","11","1","11","11","11","11","1","1","3","4","5","2","11","2","11","11","11","3","1","11","11","11","1,2","15","1,2,4,6","15","5","4","2","3","1","1","1","1","Staging area in garage prior to entering house","3","2","1","3","N","3",,,"us1"
"US","Kentucky","946b2306-b39f-d801-4d63-a8f4a5e5cd73","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","6","6","6","3","1","11","11","11","3","2","11","11","11","11","1","1","2","5","3","4","11","3","11","11","2","11","1","11","11","11","3","15","15","15","1","5","3","4","2","1","2","1","Social isolation  using telemedicine","2","3","1","2","IgG  and IgM tests",,,,"us1"
"US","Nevada","7f514d7b-90a4-3615-623a-bcf4ea3ef560","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","7","7","6","2","1","11","11","11","11","2","11","3","11","11","1","4","3","2","1","5","11","11","11","11","11","11","1","2","3","11","3","15","15","15","2","4","3","5","1","1","1","1","Separate bedrooms","3","3","2","2","No",,,,"us1"
"US","Massachusetts","a8da20e3-0722-054f-3826-2d24c228d8b8","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","5","5","2","1","11","2","11","11","11","3","11","11","11","2","1","2","4","5","3","11","2","3","11","1","11","11","11","11","11","3","15","15","15","1","3","4","5","2","1","1","1","sanitize everything, scrubs stay outside of home, wear masks at work","1","1","1","1","no",,,,"us1"
"US","Delaware","3c7b0409-578a-adf1-df15-2b7209b49b49","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","5","5","2","11","11","11","11","11","1","11","2","3","11","2","1","3","2","4","5","1","11","2","11","11","3","11","11","11","11","3","15","1,2,3,4,5,6,8,9,13","15","4","5","3","1","2","2","2","1","Remove shoes and clothing in garage.  Shower immediately upon returning home. ","2","2","2","2","no",,"6","unknown","us1"
"US","Nevada","05410ba8-bb65-91d7-86b2-b973029b1e4f","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","5","6","6","2","1","11","3","11","2","11","11","11","11","11","1","3","2","4","5","1","11","3","11","11","2","11","11","1","11","11","3","15","2,8","15","2","5","3","4","1","1","1","1","Isolation. Careful routine and sterilization coming home. ","1","1","1","3","Immediate allowance for ALL medical personnel to use ANY PPE, including respirators and suits. Our healthcare providers should NOT be wearing trash bags or be threatened with job loss!! Shame on the hospitals that threaten their work force in these dire circumstances. CDC should be held responsible for disregarding worldwide recommendations and downgrading ro droplet precautions. Shame on them too! ",,"6","1","us1"
"US","Wisconsin","7f892988-8124-3062-34fc-e61dcb8000f2","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","3","4","2","11","11","11","3","11","1","11","2","11","11","2","1","4","2","3","5","1","3","2","11","11","11","11","11","11","11","3","15","15","15","5","3","2","4","1","3","3","1","Social distancing ","2","2","2","3","No",,,,"us1"
"US","Pennsylvania","ce8515b0-7a5a-6ca6-40b5-53b917b66753","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","4","6","6","2","1","11","2","11","11","11","11","3","11","11","1","3","4","2","5","1","11","1","11","2","11","11","11","11","3","11","3","15","15","15","3","5","2","4","1","1","4","2",,"2","2","2","1","n/a",,,,"us1"
"US","Washington","b9f7d8fb-87c2-714d-49a5-d6cd56d30949","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","3","3","2","1","2","11","11","11","3","11","11","11","11","1","1","2","3","5","4","11","1","11","3","2","11","11","11","11","11","1","2,3,4,5,6,8,9,10","1,2,3,4,5,6,8,9,10","2,8","1","4","3","5","2","4","2","1","social distance","2","2","1","1","none","4","2,4","6","us1"
"US","Ohio","257f2a54-0741-7a73-f49b-f2fca1dc0e4a","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","4","6","6","3","1","11","3","11","11","2","11","11","11","11","2","4","3","5","2","1","11","11","11","1","2","3","11","11","11","11","3","15","15","15","3","4","5","1","2","1","1","1","Hand washing ","2","2","2","3","No",,,,"us1"
"US","Texas","ae24173e-544b-3430-6ca1-82d408fb47d0","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","3","5","4","2","11","11","11","3","1","11","11","11","11","1","3","1","2","5","4","11","1","11","2","3","11","11","11","11","11","1","15","15","4,7,8,13,14","2","5","3","4","1","1","1","1","Frequent handwashing; social distancing, isolation","2","4","1","3","What is the risk of reinfection after recovery from COVID-19?","4",,,"us1"
"US","Rhode Island","c4377047-3b59-bd2d-b008-a315c7575ac6","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","6","6","2","1","11","3","11","11","2","11","11","11","11","2","1","4","3","5","2","11","11","11","1","11","2","11","3","11","11","3","15","15","15","4","2","3","5","1","2","1","2",,"2","1","2","2","none",,,,"us1"
"US","Missouri","5023ac8c-db6b-033a-cd37-ac40956c0421","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","4",7,"7","7","2","1","11","11","11","3","2","11","11","11","11","2","1","3","4","5","2","11","1","11","3","2","11","11","11","11","11","3","15","15","15","2","3","4","5","1","2","2","2",,"3","2","2","2","n/a",,,,"us1"
"US","Illinois","2c573857-bbd4-60f8-1cc4-52f30690510c","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","2","3","3","11","11","11","11","11","1","11","2","3","11","1","3","1","4","5","2","11","3","11","2","11","11","11","11","1","11","3","15","8,13","15","5","3","4","2","1","1","1","1","stay at home as much as can, hand washing, home school kids","3","2","1","2","i have concerns over public aid to attenuate some of the more immediate needs of those unable to work or find child care",,"5,6","1,2,3","us1"
"US","New York","949e8942-5126-e456-f4c2-6bc73828ac59","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","4","5","2","1","11","11","11","11","2","11","11","3","11","1","2","1","3","5","4","11","1","2","11","11","11","3","11","11","11","1","15","3,4,5,6,10","15","3","5","4","1","2","1","1","1","Wearing  ppe","2","1","1","2","No","3",,,"us1"
"US","New Jersey","7fb8d52f-d9e1-a51d-e57b-3f9c62b4f40c","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","6","6","3","11","11","2","11","3","1","11","11","11","11","1","5","1","2","4","3","11","11","11","11","3","11","11","1","11","2","3","3,4,5,6","3,4,5,6","3,4,5","3","2","5","1","4","1","1","1","Washing hands frequently. Sanitizing areas frequently. Wearing a mask when I am sniffling. Staying away when I dont feel well","2","1","1","2","Treatment and vaccines",,,,"us1"
"US","Florida","0a1d64f9-ae1e-3a02-397b-c82c5e1cc29a","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","6","6","2","2","11","11","1","11","11","11","3","11","11","1","4","3","1","2","5","11","11","11","1","11","3","11","2","11","11","3","15","15","15","3","2","5","4","1","2","2","1","Social distancing","3","2","1","2","No",,,,"us1"
"US","New Mexico","566982cd-7446-83b5-4bd4-4bc4ed5d58ae","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","2",0,"3","3","2","3","11","2","1","11","11","11","11","11","11","2","4","1","5","2","3","3","2","11","11","11","1","11","11","11","11","1","3,6","8,11,13","4,7,9","2","1","3","5","4","2","2","1","Ppe ","2","2","2","2","N/a","3","3","2,3","us1"
"US","California","0fcfd99a-315e-716b-1eae-ace471b456b1","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","5","3","2","1","11","11","3","11","11","11","11","11","2","2","2","1","3","5","4","1","2","11","3","11","11","11","11","11","11","2","15","2,4,5,8,13,14","2,8,13","1","5","4","3","2","3","2","1","masks, ","3","3","2","1","no","3","5,6","4","us1"
"US","Ohio","1245cb44-0f27-aaa8-7677-953735691b7b","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","5","6","6","3","1","11","11","11","11","3","11","2","11","11","1","4","5","2","3","1","1","11","2","11","11","11","11","3","11","11","3","15","15","15","3","5","2","4","1","1","1","1","Masks, changing scrubs","2","2","1","2","Na",,,,"us1"
"US","Michigan","66260903-bfa0-25a1-4e34-c3d36cc8e1ef","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","5","5","3","1","11","11","11","11","3","11","2","11","11","1","1","5","4","3","2","11","11","11","11","1","3","11","11","2","11","2","4,8,13","2,7,10,13","8,13","1","5","3","4","2","1","1","1","Wearing scrubs to work and changing before being w family.  Limiting contact w others.  Wearing appropriate ppe when able.","2","1","2","2","None","4","6","200mg BID for a total of 5 days","us1"
"US","Pennsylvania","63dc9455-e15a-e50f-6800-55758204419c","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","3","4","5","2","1","11","11","11","11","2","11","11","11","3","3","1","4","3","2","5","11","2","11","11","1","11","11","11","3","11","1,2","2,8","2,8","15","3","5","2","4","1","1","1","1","Getting undressed in a separate location","2","1","2","2","No","4","6","2","us1"
"US","Mississippi","199c2fd2-565e-a1f0-2a88-ffe8d03c989b","Completed","5d88f10b-1bcb-4ebb-bd1a-1983610b6112","Share your opinions & medical knowledge on COVID-19","3","2","5","5","2","3","11","11","11","2","1","11","11","11","11","1","1","3","4","5","2","11","1","11","3","11","11","2","11","11","11","1","4,5","4,5","15","4","2","5","3","1","1","1","1","changing clothes before home, better hand washing and sanitization, showing before contact with family","2","2","2","2","no","6",,,"us1"
