"country","specialty","respondentId","surveyStatus","studyId","title","Q1","Q2","Q3","Q4","Q5","Q6","Q7-1","Q7-2","Q7-3","Q7-4","Q7-5","Q7-6","Q7-7","Q7-8","Q7-9","Q7-10","Q8","Q9","Q10","Q12","Q20-1","Q20-2","Q20-3","Q20-4","Q20-5","Q21","Q22","Q23","Q24","state","Q11","Q13-1","Q13-2","Q14-1","Q14-2","Q16-1","Q16-2","Q16-3","Q16-4","Q16-5","Q16-9","Q18","Q19","Q16-6","Q16-8","Q16-7","Q15","Q16-10"
"SE","General Practice (GP)","a120e5db-558d-a851-9c59-c7d3431fd201","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","4","5","2","1","2,7","2","11","3","11","11","1","11","11","11","11","2","1,2","5","2","2","3","4","5","1","4","3","1","2","Norrbottens län [SE-25]",,,,,,,,,,,,,,,,,,
"BE","Pathology Laboratory","361f5244-f361-7285-3817-9fbe2e6f7ac4","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","2",0,"4","2","3","2","1","11","11","11","11","2","3","11","11","11","2","2","5","1","2","3","1","5","4","2","2","2","1","Bruxelles-Capitale, Région de",,,,,,,,,,,,,,,,,,
"GR","Anesthesiology","ab203f72-fc42-0f2c-de86-85723ae4c3d6","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","7","1","3","1,2,5,7,8,9","3","11","2","11","11","1","11","11","11","11","3","2","1","2","3","4","2","5","1","2","4","4","1","Chalkidiki","2","8","8","1,2,3,4,5,6,11","1,2,3,4,5,6,11","7","7","7","7","7",,"5,6","1","7",,,"Do not know",
"GR","Urology","e7488ec2-cb50-c921-1c6a-447bede84a32","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","4","1","4","1,2,5,6,7,8","11","11","2","1","3","11","11","11","11","11","2","2","5","1","3","4","5","2","1","2","2","2","2","Attiki",,,,,,,,,,,,,,,,,,
"BE","Pediatrics (excluding surgery) - Psychiatry","e66731e2-9f56-78bf-f66a-4b0e69d4d6c4","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","4","2","3","1,2,3,4,7,8,9","1","2","11","11","11","3","11","11","11","11","1","2,4","5","2","5","4","3","1","2","2","1","3","2",,,,,,,,,,,,,,,,,,,
"FI","Cardiology - Interventional Cardiology","8bfb8b88-2e3d-ef9d-d68a-66b12ba43086","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","5","2","1","1,2,4,7","2","11","3","11","11","1","11","11","11","11","1","1,2","5","1","3","5","4","2","1","2","2","3","2",,,,,,,,,,,,,,,,,,,
"RU","Infectious Diseases","c70e47fb-b4f4-1d5a-859b-8fcce60768cd","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","3","1","3","1,7,8","2","11","11","11","11","3","11","1","11","11","2","1,2,3","1,3",,"4","3","2","5","1","1","4","4","2","Tomskaja oblast'","3","1,2,3","1,2,3","2,3,5,6","2,5,6",,"5","4",,"4",,,,"5",,,,
"TR","Pulmonology/Respiratory Medicine","d043dedc-3713-a505-ac99-645c4ef7a3ac","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","1","3","3","1,2,4,5,7,8,9","11","11","2","11","3","1","11","11","11","11","2","1,2,3,4","1,2,3,4",,"5","3","4","1","2","2","3","2","2","İstanbul","2","3,4","4","2,3,4,5","2,3,4,5",,"3","4","6","7",,"1,3,5,6","1",,,,,
"NL","Neurology","d34a6354-7d34-9872-bbfc-7df859a709ff","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","6","2","3","1,2","3","11","2","1","11","11","11","11","11","11","2","1,2","1","2","3","5","2","4","1","2","2","3","2","Groningen","2","3","3","12","2,4",,"1",,"4",,,"2,6","1",,,,,
"SE","Emergency Medicine","39209bd1-39e3-dccc-e4da-44bcf64d76e8","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","3","1,2,4","1","11","2","3","11","11","11","11","11","11","1","2","1,2,3,4",,"4","5","2","3","1","2","1","1","3",,"2","1,2,3","8","4","4",,,,"4",,,"6","3",,,,,
"PL","Oncology - Medical Oncology","30cce068-5f41-b19a-964e-0b8f5d795100","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","1","2","1","1,2,3,4,5,6,7,8,10","1","11","11","11","11","2","11","3","11","11","2","2,3,4","1","2","2","4","3","5","1","1","1","3","2","Dolnośląskie","3","8","8","12","12",,,,,,,,,,,,,
"BE","General Practice (GP)","47c986a2-425b-4bbc-14f5-747504e9054b","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","5","6","2","3","1,5,7,9","2","1","11","11","11","3","11","11","11","11","3","1,2,4","1,2,4",,"5","4","1","2","3","1","4","3","3",,"2","1,2,4,5,6,7","1,2,4,5,6,7","4,5,10","4,5,10",,,,"5","5",,"5,6","1",,,,,"5"
"BE","Preventive Medicine","06c56183-c0c6-e888-6f46-b953625c9071","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","1","3","3","1","1,2,7,8","2","11","3","11","11","1","11","11","11","11","1","2","5","2","3","2","4","5","1","4","2","2","2",,,,,,,,,,,,,,,,,,,
"RU","Oncology","77c743b2-3cef-e486-8056-ad14ec928b18","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","1","1,2,3,4,7,8,9,10","2","11","3","11","11","11","11","1","11","11","2","1,2,3","1","1","5","3","4","1","2","2","2","1","2",,"3","8","8","12","12",,,,,,,,,,,,,
"AT","Internal Medicine","90a1bdf3-d2bc-0893-6407-dafd13c77793","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","5","3","3","1,2,4,5,6,7,8","1","11","11","2","11","3","11","11","11","11","3","1,2","1,3",,"5","2","3","4","1","4","1","4","2","Wien","3","8","8","12","12",,,,,,,,,,,,,
"PL","Dermatology","20c89061-afbf-55b6-1224-8bd3760a0d37","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","1","3","4","1,2,4,6","3","11","11","11","11","1","11","2","11","11","1","1,2","5","2","3","4","1","5","2","1","1","4","3","Dolnośląskie",,,,,,,,,,,,,,,,,,
"RU","Infectious Diseases","694fd2b4-a35a-82e7-2d1a-c62de0b1a6a8","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","2","1,2,7,8","1","11","11","11","11","2","11","3","11","11","1","1,2,3,4","1","1","2","5","3","4","1","2","2","2","2","Krasnodarskij kraj","4","8","8","12","1,3,5,6","5",,"6",,"5",,,,"5",,,,
"CH","General Practice (GP)","5a6443f7-0786-caf4-c77a-f329e772acea","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","7","3","1","4","1,2,4,7,9","3","11","11","11","11","11","11","1","2","11","4","2","1,2",,"4","5","2","1","3","2","1","3","1","Appenzell Ausserrhoden","2","3,4,6","8","12","2,3,4",,"6","6","6",,,"5,6","2",,,,,
"RU","Ophthalmology","8b41b1f1-fafd-a024-edc0-a266fef1aec0","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","2","1","2,6,7,8,9","3","1","11","11","11","2","11","11","11","11","3","2,4","5","2","4","1","2","3","5","2","3","2","3","Rostovskaya oblast'",,,,,,,,,,,,,,,,,,
"GR","General Surgery","710ecdc0-ee5b-755a-45da-55fd299d19cb","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","1","2","3","1,2,5,6,7,8,wash hands and face regularly","1","11","11","3","11","11","11","11","11","2","2","2","1","2","3","5","2","4","1","2","2","3","2",,"2","8","1,2,3","12","5",,,,,"3",,,,,,,,
"BE","Neurology","d27a850f-ef3d-9d91-29cb-d3af236acb5e","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","1","5","2","3","1,2,8,Be disciplined","1","11","2","11","11","11","11","11","3","11","2","2","1,3",,"2","4","3","5","1","1","2","3","2","Namur","2","3","8","4","2,7",,"4",,"4",,,"5,6","1",,,"3",,
"SE","Diabetology","59fc488a-923d-b741-efd7-9561ecc483b0","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","3","1","3","2","11","11","11","1","11","2","11","11","3","11","1","2","5","1","4","5","1","3","2","1","1","2","2","Stockholms län [SE-01]",,,,,,,,,,,,,,,,,,
"CH","Ophthalmology","7b02d007-a432-d9f2-05f7-5497d13d2a00","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","1","2","4","1,2,4,7","11","11","11","3","11","2","11","1","11","11","2","1,2","5","2","3","5","4","1","2","1","1","4","3","Zürich",,,,,,,,,,,,,,,,,,
"RU","Ophthalmology","68786fe8-462b-9c91-f5ce-213a3fe55ab7","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","4","6","2","3","1,2,8,10","2","11","11","3","1","11","11","11","11","11","2","1,2,3","5","2","2","1","4","5","3","2","4","4","3","Moskva",,,,,,,,,,,,,,,,,,
"DK","Endocrinology","228a419c-a4fe-ce56-dd1f-9d15479cbd26","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","2","1","1","1,2,7","3","11","11","2","1","11","11","11","11","11","3","2","5","1","4","5","2","3","1","4","3","2","3","Syddanmark",,,,,,,,,,,,,,,,,,
"GR","Diabetology","d2c2acee-31f9-526e-4a8d-e906b26e2cb5","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","6","5","2","3","1,2,7,8","11","11","11","1","3","2","11","11","11","11","2","2","1","2","5","3","2","4","1","1","1","1","1","Attiki","2","2,3,7","8","2,4,11","1,2,4","2","4",,"4",,,"6","3,5,6",,,,"COLCHICINE",
"TR","Radiology","1bf11756-e28a-b7d4-f619-ba2d496cc564","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","2","2","1","1","11","11","11","11","2","1","11","11","3","11","1","2","5","1","3","5","2","4","1","2","2","3","3",,,,,,,,,,,,,,,,,,,
