"country","specialty","state","respondentId","surveyStatus","studyId","title","Q1","Q2","Q3","Q4","Q5-1","Q5-2","Q5-3","Q5-4","Q5-5","Q6","Q7","Q8","Q15","Q16","Q17","Q18","Q19","Q20","Q22","Q24-1","Q24-2","Q24-3","Q25","Q26","Q23","Q9","Q10-1","Q10-2","Q12-3","Q12-4","Q12-5","Q12-7","Q12-9","Q14","Q21","Q12-2","Q12-10","Q11","Q12-1","Q12-6","Q12-8"
"AU","Psychiatry","Northern Territory","46bf4cb7-8b20-4b88-8e68-1848e9935a86","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","6","3","1","Chloroquine ",,,,,"2","1","3","3","2","2",,"3","1","1","1","1","1","1","2",,,,,,,,,,,,,,,,,
"AU","Sports Medicine","New South Wales","6d9fd318-5d1e-4f36-b64e-f96ba73acf97","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","6","1","Hydroxychloroquine",,,,,"3","1","3","4","3","1","5","1,3,4,5","1","1","1","1","3","6","2",,,,,,,,,,,,,,,,,
"AU","Oncology",,"824b6071-9d37-4424-aca0-13e4a06a3fdc","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","4",7,"7","2",,,,,,"3","1","2","2","2","1","4","1,2,3,4,5,6","1","1","3","1","3","3","2",,,,,,,,,,,,,,,,,
"AU","Urology","South Australia","a93ca421-a3c3-46a2-8b3f-ed719c846dd6","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","6","2",,,,,,"2","5",,,"1","1","4","1,3,5","1","1","1","1","3","5","2",,,,,,,,,,,,,,,,,
"AU","Neurology","New South Wales","00d5cf7f-86f5-499a-9608-782c4b8464ba","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","4",7,"5","1","I am in private practice and hence cannot respond but my chemist is having difficulties obtaining plaquenil (hydroxychloroquine) ",,,,,"2","5",,,"2","1","3","1,3,4,5,Assess non staff entering the hospital and closing some of the entrances to ensure wider capture of affected people","2","1","1","1","1","6","3",,,,,,,,,,,"1",,,,,,
"AU","Cardiology","New South Wales","d62a6d63-a0d0-413a-9699-4ac6aba99c63","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","5","6","1","Don’t know","We have not been informed!!!",,,,"1","5",,,"2","1","5","1,3,4,5,6","2","1","3","3","3","3","2",,,,,,,,,,,"1",,,,,,
"AU","General Practice (GP)",,"4aedab02-c382-46e6-80b4-51e92a1dc254","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","5","5","1","plaquenil",,,,,"3","1,2","3","4","1","2",,"3,4,5","1","2","3","3","3","1","2","4","1","12","2,10",,,,,,,,"7","7",,,,
"AU","Endocrinology","New South Wales","666ce0b2-d827-49dd-9afa-324fddba0c9b","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"5","1","HydroxyChloroquine","IVIg",,,,"3","5",,,"2","1","5","1,3,4,6","2","1","1","1","3","6","2",,,,,,,,,,,"1",,,,,,
"AU","Emergency Medicine",,"957a3dcf-82d4-4f7f-a364-169816c9d131","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","4","6","1","in one site, only, paralytics, not elsewhere",,,,,"3","5",,,"2","2",,"4,5,6","1","1","2","2","2","6","3",,,,,,,,,,,,,,,,,
"AU","Endocrinology","New South Wales","e31596b3-4512-4826-a309-e7c2efe85ca6","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","2","1","insulin","ab's","corticosteroids",,,"3","5",,,"1","1","4","3,4,5,6","1","1","3","1","2","1","2",,,,,,,,,,,,,,,,,
"AU","Psychiatry","New South Wales","bb73ec65-2107-41fc-b684-7df4319c11c0","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","7","1","none currently",,,,,"1","5",,,"1","2",,"7","1","1","3","3","3","5","2",,,,,,,,,,,,,,,,,
"AU","General Practice (GP)","Victoria","cd9aa0a0-0a5c-49cf-b4b6-36e4567b6a23","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","4","2",,,,,,"2","1","2","3","1","2",,"7","1","2","2","1","3","5","2","4",,,,,,,,,,,,,,,,
"AU","Orthopedic Surgery",,"16fcc7e9-1d4c-49e9-86f9-0bad8d00bfd4","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","4","6","2",,,,,,"1","5",,,"2","2",,"3,4,5,6","1","1","1","1","1","5","2",,,,,,,,,,,,,,,,,
"AU","Neurology","New South Wales","ebc3dad8-a76c-46e8-b5aa-01885f9392b7","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"6","2",,,,,,"2","2",,,"1","2",,"2,3,5","1","2","1","1","2","3","2","1","1","5,11","5,11",,,"5",,,,,,,"doxycycline",,,
"AU","General Practice (GP)","Queensland","4aa16827-fdf8-49c5-9f5e-2e66322cd91c","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","6","2",,,,,,"3","5",,,"2","1","4","1,3,5","1","1","1","1","1","6","2",,,,,,,,,,,,,,,,,
"AU","General Practice (GP)",,"8d8a8994-b14c-445a-b593-8a828bae3cc6","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","6","3","1","chloroquine phosphate",,,,,"2","1","4","3","1","2",,"7","1","1","1","1","1","6","3",,,,,,,,,,,,,,,,,
"AU","Pulmonology/Respiratory Medicine","South Australia","3d74631f-2849-44ad-8d77-a96a04fb3998","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","1",-1,"3","2",,,,,,"3","1,2","2","3","2","1","3","4,5,6","1","2","1","2","3","5","2","5","2","5","1,2,4,5",,"4","4",,,"2",,"3",,,"2",,
"AU","General Practice (GP)",,"ca5e51b5-4fba-4444-995d-76fbaff97ca0","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","6","2",,,,,,"3","1","3","2","1","2",,"1,3,4,6","1","1","2","2","2","6","2",,,,,,,,,,,,,,,,,
"AU","General Practice (GP)","New South Wales","d036cbd9-296a-4d8a-b0d4-703d1576fe59","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","7","5","1","all drugs",,,,,"2","1","4","3","1","1","5","3","1","2","3","3","3","4","2","1",,,,,,,,,,,,,,,,
"AU","General Practice (GP)",,"91762849-2a54-4899-a01a-c26065b4ff1b","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","5","5","2",,,,,,"1","1","4","3","1","1","3","1","1","2","1","1","1","3","3","1",,,,,,,,,,,,,,,,
"IN","General Practice (GP)","Tamil Nadu","3d83c060-9a59-484c-86ee-ce9fb0dca334","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","6","1","HyQ",,,,,"1","5",,,"1","2",,"1,6","1","1","2","3","3","4","2",,,,,,,,,,,,,,,,,
"IN","Pulmonology/Respiratory Medicine",,"02b25be5-bdfa-45d4-b693-59461d740100","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","7","1","Possible anti virals",,,,,"2","5",,,"1","1","2","1,3,4,5,6","1","1","1","1","1","3","1",,,,,,,,,,,,,,,,,
"IN","Urology","Karnataka","7bfb45e7-2ca8-4e10-a7aa-f424798d3d49","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"3","1","chloroquine",,,,,"1","5",,,"1","1","2","1,2,3,4,5,6","1","2","3","3","3","4","2","3",,,,,,,,,,,,,,,,
"IN","Otolaryngology (ORL / ENT)","Karnataka","447a6874-655d-4930-96b8-6085aee076fb","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","5","6","1","Hcq","Ribavirin ","Amiflu","Azithromycin",,"1","5",,,"1","1","1","3,4,Self isolation on minor  symptoms ","1","1","1","1","1","4","3",,,,,,,,,,,,,,,,,
"IN","Pediatrics (excluding surgery)","Maharashtra","584ecd09-0287-449f-9011-1fd9ce73422f","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","6","1","Azithromycin","chloroquine","oseltamivir",,,"3","1","2","3","1","1","4","1,4,5","2","2","3","1","2","2","1","3",,,,,,,,,,"1",,,,,,
"IN","General Practice (GP)","Karnataka","a7470f12-5ede-44e6-a6ed-8e964a021f1b","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"2","1","hydroxy chloroquine","Interferon alfa","favipiavir","kaletra",,"2","1","3","2","1","1","3","1,2,3,4,5,6","1","1","3","3","3","2","3",,,,,,,,,,,,,,,,,
"IN","General Practice (GP)","Rajasthan","847bf0ab-7c7d-43a6-b36e-19a762704320","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","4","2",,,,,,"3","1,3,4","2","4","1","2",,"1,2,3,4,5,6","1","2","1","1","1","6","1","4","6","1,2,3,4,5","1,2,3,4,5,11","4","4","4",,,"2",,"3",,"tocilizumab","2",,
"IN","Oncology","Karnataka","f8a72512-90b1-47cc-b21d-f4e0019a7d62","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","5","2",,,,,,"2","4",,,"1","1","3","1,3,5","1","1","3","3","3","3","1",,,,,,,,,,,,,,,,,
"IN","General Practice (GP)","Karnataka","b6d7623e-62c3-4441-b364-c8da13fee4e5","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","2","2",,,,,,"3","5",,,"1","2",,"1,2,3,4,5,6","1","2","3","3","3","3","2","4",,,,,,,,,,,,,,,,
"IN","Pediatrics (excluding surgery)","Tamil Nadu","f66c9887-f318-405e-a7e2-53e1cd16f8a4","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","3","1","Hydroxychloroquine ",,,,,"2","5",,,"2","2",,"1,3,PPE in ER and ICU","1","1","2","1","1","6","2",,,,,,,,,,,,,,,,,
"IN","Plastic & Reconstructive Surgery","Tamil Nadu","d2e13c3d-7302-4079-81a0-e51178d50cbb","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","3","2",,,,,,"1","5",,,"1","2",,"4","1","1","1","1","1","6","2",,,,,,,,,,,,,,,,,
"IN","Cardiology - Interventional Cardiology","Andhra Pradesh","ba6c4df5-d275-4641-a302-f315092a2245","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","4","3","2",,,,,,"1","5",,,"1","1","3","6","1","1","1","1","1","6","2",,,,,,,,,,,,,,,,,
"IN","Intensive Care / Critical Care Medicine","Andhra Pradesh","eefaf1ac-f51b-4395-bd10-d9e899053288","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","4",7,"3","2",,,,,,"2","4",,,"1","2",,"1,3,5,6","2","1","1","1","1","5","2",,,,,,,,,,,"2",,,,,,
"IN","Oncology","Bihar","4d6075e9-3dcb-4f64-8346-b36eb49e1f9e","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","3","1","Vit C","Hydroxychloroquin",,,,"1","5",,,"3","1","1","1,3,4,5,6","1","1","1","1","1","5","1",,,,,,,,,,,,,,,,,
"IN","Obstetrics & Gynecology","West Bengal","e4743820-9096-46ff-8dc6-72e7fef25b3e","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","3","1","HCQ","Tocilizumab","PPE",,,"2","4",,,"1","2",,"1,3,5","1","2","2","2","2","6","2","5",,,,,,,,,,,,,,,,
"IN","Intensive Care / Critical Care Medicine","Rajasthan","b01dca2b-861e-48d2-b6fd-e9bc056276d0","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","3","1","PPE","HCQS",,,,"3","5",,,"3","1","4","1,2,4,5,6","1","1","3","2","3","6","1",,,,,,,,,,,,,,,,,
"IN","Psychiatry","West Bengal","c4fe8a1c-5f96-4281-ab77-378817b8f778","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","4","2","1","Hydroxychloroquine","Paracetamol","Azathioprine",,,"1","5",,,"1","1","2","4","1","1","1","1","3","3","2",,,,,,,,,,,,,,,,,
"IN","General Practice (GP)","Rajasthan","e5e92db7-b806-4bfb-9ce4-a90be90b2cb0","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","1","3","2",,,,,,"2","1","3","3","1","2",,"3,6","1","2","3","2","1","1","1","2",,,,,,,,,,,,,,,,
"IN","Hematology Oncology","Karnataka","0517de3b-31ee-4948-a665-56664dec0672","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","4","6","1","Remdesivir",,,,,"1","1","3","3","1","1","5","1","1","1","2","1","2","1","1",,,,,,,,,,,,,,,,,
"IN","General Practice (GP)","Delhi","0a3e2db5-e3b6-43ab-8422-fb57b7aab307","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"3","2",,,,,,"2","1","3","3","2","1","5","1,4,5","1","1","2","2","3","6","2",,,,,,,,,,,,,,,,,
"IN","Cardiothoracic surgery - Cardiac Surgery","Maharashtra","cde3165a-246f-4234-b79b-95113123de2e","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","4","1","Tab HCQS","Tab. Albendazole ","Tab Ivermectin",,,"4","1","2","4","2","1","2","1,2,3,5","1","1","1","1","1","6","2",,,,,,,,,,,,,,,,,
"IN","Diabetology","Maharashtra","3013c2b6-b057-4a6a-a37e-331667bdf889","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","6","1","Hydroxychloriquine",,,,,"1","1","3","2","1","2",,"3","1","1","3","3","3","1","2",,,,,,,,,,,,,,,,,
"IN","Emergency Medicine","Maharashtra","64509b68-cde9-453b-ad91-e910e4435e33","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","1","4","2",,,,,,"1","1,3,4","3","3","1","2",,"6","2","1","2","2","1","3","2",,"1","5","3,5,6,9","7",,"4",,"7",,"1",,,,,"7",
"IN","General Practice (GP)","Uttar Pradesh","34f548fc-52bf-4bb5-94b7-882c2048050e","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","5","1","Tocilijumab",,,,,"2","5",,,"1","2",,"7","1","1","1","1","1","6","1",,,,,,,,,,,,,,,,,
"IN","Orthopedic Surgery",,"c7c5aae5-8760-47cf-a4dc-c51a4f323e74","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","5","1","HYDROXY CHLOROQUINE SULPHATE","AZITHROMYCIN","IVERMECTINE",,,"1","5",,,"1","1","2","6","1","1","3","3","3","1","1",,,,,,,,,,,,,,,,,
"IN","Urology","Maharashtra","64014d6d-5532-4b05-a1f8-e1ee44c6dcdb","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","5","2",,,,,,"2","5",,,"2","1","3","1,2,3,4,5,6","1","2","1","1","1","3","1","3",,,,,,,,,,,,,,,,
"IN","Rheumatology",,"043a437f-fd9d-4af8-857f-4726c9e326f8","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","1","2",,,,,,"2","5",,,"2","1","1","1,2,3,4,5,6","2","1","3","3","3","6","2",,,,,,,,,,,"1",,,,,,
"IN","Rheumatology","Delhi","649fbcde-b911-4530-83f6-2eda49fcb9d8","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","3","1","hydroxychloroquine",,,,,"1","5",,,"1","2",,"7","1","1","1","1","1","1","2",,,,,,,,,,,,,,,,,
"IN","General Surgery","Maharashtra","75b607a8-f4c0-4c10-9ac9-9f87ab7cc04e","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","4","3","2",,,,,,"2","5",,,"1","1","4","1,3,4,6","1","1","3","1","2","1","1",,,,,,,,,,,,,,,,,
"IN","Gastroenterology","Delhi","e90c9ecb-cbbd-4c44-a36f-93bfc6b6b42e","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","4","7","2",,,,,,"2","1","3","5","1","2",,"1,2,3,4,5,6","1","1","3","1","3","6","1",,,,,,,,,,,,,,,,,
"IN","Pulmonology/Respiratory Medicine","Uttar Pradesh","341f6be6-1bc0-43cf-b5b8-d3cfcba31886","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","3","1","There is no drug for COVId",,,,,"3","1,2,3,4","2","3","3","1","2","4,5,6","1","2","1","1","2","6","1","1","1","2,4","1,4",,"2",,,,"5",,"1",,,"2",,
"IN","Cardiology","Rajasthan","b0309f12-dbc7-4290-a685-34537654c0cc","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","2","1","Lopinavir",,,,,"1","1","2","5","3","1","1","1,2,3,4","1","1","1","2","1","2","1",,,,,,,,,,,,,,,,,
"IN","Psychiatry","Chandigarh","b099bddd-7c01-4aa6-b269-2c4b86dd4afa","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","5","6","1","Hydroxychloroquine","Ivermectin ","Azithromycin",,,"3","1","3","3","1","2",,"1,2,3,4,5,6","1","1","3","2","2","3","2",,,,,,,,,,,,,,,,,
"IN","Internal Medicine","Tamil Nadu","447b3492-2839-4765-a85d-ca9a7f978abf","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","2",0,"3","1","fevipiravir",,,,,"2","5",,,"2","1","4","1,2,3,5,6","1","2","1","1","1","6","2","1",,,,,,,,,,,,,,,,
"IN","General Practice (GP)","Maharashtra","71cd1057-a529-4531-a25a-ff1d3ce37d9d","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","3","2","2",,,,,,"2","1","3","3","1","2",,"1,2,3,4,5,6","1","1","1","1","3","6","1",,,,,,,,,,,,,,,,,
"IN","Oncology","Andhra Pradesh","ebe10a0e-8d92-4fe1-91a8-a4bb4d6a9873","Completed","5b28a197-453c-4ece-87f8-0d511905f6fe","Share your opinions & medical knowledge on COVID-19","3","2","7","2",,,,,,"2","5",,,"1","1","5","7","1","1","3","2","2","6","2",,,,,,,,,,,,,,,,,
